QUESTION,ANSWER
What if I found that my product is wrong/damaged or a component is missing after delivery will I have an option to return the product? ,"A return request for a Missing, Damaged or wrong product will NOT be accepted once Open Box Delivery is successfully completed. The purpose of this feature is to ensure that customers are satisfied with the products that they are receiving, after getting a chance to thoroughly check the product and giving consent. The option to return or exchange under other reasons, apart from the ones mentioned above, will still be available to the customer. "
For Electronics what if the device is not working? ,You can get in touch with us for such issues. 
What is the Referral Program? ,"The Referral Program lets you share a unique referral link with your friends who haven't shopped on Myntra before. If they make a purchase using your link and don't return the items, both of you will earn rewards.
"
How do I join the Referral Program? ,"You can join by sharing your unique referral link with friends who don’t have a Myntra account. When they make their first purchase using your link, you'll both get rewards. "
What rewards can I earn? ,"For each successful referral, you can earn a reward of Rs.250. You can redeem your reward in two ways:
Convert to MynCash: Turn your referrals into MynCash at any time.
Bank Account Redemption: Redeem your rewards directly into your bank account once they reach a total of Rs.10000. You’ll need to provide your bank details and any required documents.
"
Is there a limit to the rewards I can earn? ,"Yes, you can earn up to INR 50,000 in rewards per financial year (April 2024-Mar 2025). Once you reach this limit, you won’t earn more rewards until the next financial year. "
How are my bank details used? ,Your bank details are only used to process your rewards. We handle this information confidentially and don’t share it with anyone outside the program. 
What is the Offer Period? ,The Offer Period starts at midnight on 1st August 2024 and continues until Myntra decides to end it. The termination of this referral program shall be communicated to the users/customers by giving 30 (thirty) days notice by Myntra.MynCash earned during this time can be used for purchases and will expire at the end of the Offer Period if not used. 
What if my Invitee returns their purchase? ,"Rewards are given after the return period for the Invitee’s purchase ends. If they return their purchase, no rewards will be given. "
Can I share my referral link with multiple people? ,"Yes, you can share your unique referral link with as many people as you like and earn rewards for each successful referral.
"
How will I know the value of the rewards I earn? ,"The value of the rewards will be Rs.250 per successful referral.
"
Can I convert my referrals to rewards anytime? ,"Yes, you can convert your successful referrals to MynCash anytime. For direct bank account redemption, you need to reach a specific amount of unredeemed rewards (Rs. 10000) "
What does my friend get? ,"Your friend receives a Rs 250 off coupon, which they can use on any item on Myntra which belongs to the fwd selection. "
I have shared my link with my friend. Why haven’t I received the reward? ,"If you haven't received your reward after sharing your referral link with a friend, here are some possible reasons:
First-Time Sign-up Requirement: Your friend must have a first-time sign-up on the platform. If they have previously made a transaction on Myntra, the referral won't qualify for rewards.
Completion of Transaction: Your friend needs to complete a fwd purchase using your referral link. The reward is only granted after a successful transaction is made. Ask your friend to make a purchase using the coupon they have received.
fwd Transaction: IF your friend has made a purchase on Myntra but it is not from fwd selection. You will not receive a reward.
Return Period:The reward is given only after the return period for your friend's purchase has ended. If the return period hasn't finished yet, you might need to wait a bit longer.
No Returns:If your friend returned the items they purchased, the referral reward will not be granted.
Offer Period: Make sure the referral was made during the Offer Period (1st Aug - 31st Dec 2024) If the offer has ended or hasn't started yet, the referral won't be counted.
"
Is there a way to check if my friend correctly used the referral link? ,"Your friend should either click on the link shared from your referral, or enter your referral code in the sign up page. "
What is the exact return period for the items my friend purchased? ,The return period may depend on the style your friend has purchased - it typically ranges from 14-30 days 
When exactly should I expect the reward to be credited after the return period ends? ,"You will be credited the reward 1 day after the return period ends for your friend’s fwd purchase.
"
Will I receive a notification or email once my reward is credited? ,"Yes, you will receive a notification in your app when a reward is credited for a friend’s successful transaction. "
Is there a way to track the status of my referral rewards on the app or website? ,"Yes, you can go the the referral page link to check your rewards
"
"Is there a limit to the number of referrals I can make, and if so, have I reached it? ",No - there is no limit to the referrals you can make - but you can only earn a maximum of Rs 50000 through all your referrals. 
"My friend entered my referral code, but did not get any coupon. Why? ","This could happen if you are no more eligible to refer any friends because of multiple possible reasons.
Myntra decided to revoke your referral access for not following referral guidelines ethically.
You have reached a limit of 50000 referrals for the financial year
Your friend did not enter the correct referral code while signing up
Your friend is not a new Myntra customer.
"
